날짜,Open,High,Low,Close,Volume
2025-02-14,33823,34095,33783,33937,7759783
2025-02-17,34050,34228,33981,34184,5315393
2025-02-18,34218,34495,34129,34436,5037495
2025-02-19,34564,35285,34564,35137,6326129
2025-02-20,35043,35087,34781,34831,8248015
2025-02-21,34910,34910,34633,34871,6481317
2025-02-24,34573,34657,34425,34653,6987853
2025-02-25,34229,34589,34199,34471,5931526
2025-02-26,34436,34757,34293,34644,5265418
2025-02-27,34672,34692,34327,34505,6927080
2025-02-28,33952,33987,33236,33360,19687071
2025-03-04,33192,33498,33024,33276,7318905
2025-03-05,33518,33715,33246,33528,8539589
2025-03-06,33685,33961,33625,33858,7261109
2025-03-07,33546,33848,33364,33700,4599711
2025-03-10,33502,33877,33462,33779,4836612
2025-03-11,32979,33492,32880,33399,7891436
2025-03-12,33547,34011,33384,33928,7161164
2025-03-13,34130,34308,33735,33765,8865638
2025-03-14,33803,34050,33744,33952,7019531
2025-03-17,34209,34673,34209,34614,5566233
2025-03-18,35009,35137,34628,34698,6274381
2025-03-19,34717,35203,34717,34994,4756357
2025-03-20,35250,35369,35058,35231,5698508
2025-03-21,35157,35453,35082,35399,6330809
2025-03-24,35261,35488,35152,35276,6356690
2025-03-25,35483,35493,35033,35113,6654094
2025-03-26,35260,35522,35137,35409,5191276
2025-03-27,35043,35294,34944,34974,7281573
2025-03-28,34830,34830,34238,34411,9535333
2025-03-31,33794,33794,33345,33444,11122672
2025-04-01,33695,34051,33518,33923,9258156
2025-04-02,33967,34011,33616,33755,6882666
2025-04-03,32737,33364,32688,33335,11237740
2025-04-04,32905,33592,32599,33039,20741746
2025-04-07,31561,31650,31008,31157,25518212
2025-04-08,31750,31799,31009,31143,20033913
2025-04-09,31078,31172,30456,30624,18065643
2025-04-10,32332,32510,31966,32510,11977973
2025-04-11,31972,32412,31858,32412,12439082
2025-04-14,32589,32816,32515,32619,5579896
2025-04-15,32663,33028,32663,32940,8849283
2025-04-16,32801,32860,32411,32426,7124016
2025-04-17,32514,32806,32445,32747,6899864
2025-04-18,32802,32970,32698,32970,5980652
2025-04-21,32974,33167,32880,33014,4983138
2025-04-22,32850,33072,32840,32905,5736519
2025-04-23,33453,33542,33285,33498,6770394
2025-04-24,33503,33547,33226,33439,6818593
2025-04-25,33804,33908,33636,33750,5864416
2025-04-28,33809,33928,33715,33775,2957169
2025-04-29,33870,34185,33755,34005,7061405
2025-04-30,33970,34135,33790,33935,6329504
2025-05-02,33910,34115,33690,33965,5644954
2025-05-07,34330,34400,34040,34255,6838613
2025-05-08,34310,34470,34255,34270,6263717
2025-05-09,34335,34415,34160,34265,6422377
2025-05-12,34500,34750,34430,34750,6345461
2025-05-13,34900,35045,34750,34830,8491033
2025-05-14,35145,35455,35065,35295,9598145
2025-05-15,35200,35375,34990,35035,6696380
2025-05-16,35165,35275,35070,35165,6437268
2025-05-19,34995,35030,34645,34770,7732398
2025-05-20,35040,35125,34800,34840,6059352
2025-05-21,35005,35252,34995,35060,6282240
2025-05-22,34865,34900,34525,34610,4417566
2025-05-23,34705,34785,34610,34640,5583567
2025-05-26,34725,35225,34700,35190,5660635
2025-05-27,35095,35330,35060,35300,6195383
2025-05-28,35415,36110,35360,35780,11074773
2025-05-29,36185,36515,36040,36490,13905925
2025-05-30,36355,36460,36080,36140,7705176
2025-06-02,36040,36480,35950,36125,7397312
2025-06-04,36615,37170,36610,37140,10197246
2025-06-05,37430,38180,37400,37790,12933073
2025-06-09,38380,38695,38290,38445,9387159
